paper_experiment,model_scale,optimizer,optimizer_folder,optimizer_variant,optimizer_display_name,bucket,metric,beta,beta_lower,beta_upper,intercept,r_squared,std_err,n_widths,ci_method,frequency_bucket_reduction
matched_loss_scaling_break,160m,AdamW,adamw_6k,adamw_6k,AdamW 6K,head,hard_rank,0.26257488687053787,0.042773626151501404,0.48237614758957437,2.2326108865310506,0.5874707012194182,0.08982802581448834,8,scipy_linregress_t_interval,rank0_local
matched_loss_scaling_break,160m,AdamW,adamw_6k,adamw_6k,AdamW 6K,head,soft_rank,0.4406921917745536,0.2338182282951784,0.6475661552539288,2.168276241971432,0.8191157211829649,0.08454491876425073,8,scipy_linregress_t_interval,rank0_local
matched_loss_scaling_break,160m,AdamW,adamw_6k,adamw_6k,AdamW 6K,mid,hard_rank,0.24166354397230833,-0.08254733597297653,0.5658744239175932,3.632008189168098,0.3566804243577161,0.13249798112072764,8,scipy_linregress_t_interval,rank0_local
matched_loss_scaling_break,160m,AdamW,adamw_6k,adamw_6k,AdamW 6K,mid,soft_rank,0.4491603981395953,0.23652538666126444,0.6617954096179262,2.900360377048709,0.8166030069014082,0.08689933459733461,8,scipy_linregress_t_interval,rank0_local
matched_loss_scaling_break,160m,AdamW,adamw_6k,adamw_6k,AdamW 6K,tail,hard_rank,0.43810652304153463,0.12698124603687677,0.7492318000461925,2.3050447412536,0.6642801445199025,0.12715017795115746,8,scipy_linregress_t_interval,rank0_local
matched_loss_scaling_break,160m,AdamW,adamw_6k,adamw_6k,AdamW 6K,tail,soft_rank,0.617563177979049,0.5149513370442599,0.7201750189138382,1.8731427329010115,0.9730787776474963,0.041935242164714816,8,scipy_linregress_t_interval,rank0_local
matched_loss_scaling_break,160m,AdamW,adamw_12k,adamw_12k,AdamW 12K,head,hard_rank,0.13212619970613032,-0.22259325133535207,0.4868456507476127,2.976047246160986,0.12161279716396312,0.1449661749019066,8,scipy_linregress_t_interval,rank0_local
matched_loss_scaling_break,160m,AdamW,adamw_12k,adamw_12k,AdamW 12K,head,soft_rank,0.40692826670167415,0.13506139020744484,0.6787951431959034,2.248457219165254,0.6909454008457301,0.11110611795373053,8,scipy_linregress_t_interval,rank0_local
matched_loss_scaling_break,160m,AdamW,adamw_12k,adamw_12k,AdamW 12K,mid,hard_rank,0.16534344631014694,-0.02903006420358581,0.3597169568238797,4.034539632887951,0.4193068262045102,0.07943625374560065,8,scipy_linregress_t_interval,rank0_local
matched_loss_scaling_break,160m,AdamW,adamw_12k,adamw_12k,AdamW 12K,mid,soft_rank,0.466729513029827,0.3010828822139431,0.632376143845711,2.6743702672274114,0.8879211446268134,0.06769619874033572,8,scipy_linregress_t_interval,rank0_local
matched_loss_scaling_break,160m,AdamW,adamw_12k,adamw_12k,AdamW 12K,tail,hard_rank,0.1768300675033567,-0.10183408056620588,0.45549421557291925,4.122969736621211,0.28664347771572674,0.11388401597187527,8,scipy_linregress_t_interval,rank0_local
matched_loss_scaling_break,160m,AdamW,adamw_12k,adamw_12k,AdamW 12K,tail,soft_rank,0.5278954630583759,0.389031468495473,0.6667594576212788,2.5208923412351023,0.9351542799123205,0.05675071401999049,8,scipy_linregress_t_interval,rank0_local
matched_loss_scaling_break,160m,Dion,dion_r1_16,dion_r1_16,Dion (1/16),head,hard_rank,0.34894216734819433,0.14634877592788062,0.551535558768508,2.5434504330366403,0.7474964980944501,0.0827955414578409,8,scipy_linregress_t_interval,rank0_local
matched_loss_scaling_break,160m,Dion,dion_r1_16,dion_r1_16,Dion (1/16),head,soft_rank,0.6994686363558174,0.6078149489123813,0.7911223237992534,0.9903131598462585,0.9830851124554054,0.03745688161536998,8,scipy_linregress_t_interval,rank0_local
matched_loss_scaling_break,160m,Dion,dion_r1_16,dion_r1_16,Dion (1/16),mid,hard_rank,0.46029170387227053,0.3904191151029604,0.5301642926415807,2.3926852870209365,0.9774291831101228,0.028555417230830854,8,scipy_linregress_t_interval,rank0_local
matched_loss_scaling_break,160m,Dion,dion_r1_16,dion_r1_16,Dion (1/16),mid,soft_rank,0.678574321842002,0.6331255201139949,0.724023123570009,1.6063162372517903,0.9955247562068722,0.01857394321354496,8,scipy_linregress_t_interval,rank0_local
matched_loss_scaling_break,160m,Dion,dion_r1_16,dion_r1_16,Dion (1/16),tail,hard_rank,0.4035631117942858,0.36060004342916274,0.4465261801594088,2.6670665580784565,0.9887700566542923,0.01755807769958645,8,scipy_linregress_t_interval,rank0_local
matched_loss_scaling_break,160m,Dion,dion_r1_16,dion_r1_16,Dion (1/16),tail,soft_rank,0.717827269406548,0.685415979670546,0.7502385591425499,1.2689287868804815,0.9979611702262207,0.01324579377553264,8,scipy_linregress_t_interval,rank0_local
